"Core Project Number","Affiliation","Pub Year","Authors","Country","ISSN","Journal Issue","Journal (Link to PubMed abstract)","Journal Title ABBR","Journal Volume","Language","Page Number","PMC ID","PMID","PUB Date","Title (Link to full-text in PubMed Central)","Related Publications in PubMed","Related Publications in Google Scholar","Articles Citing from PubMed Central","Articles Citing from Google Scholar","Relative Citation Ratio",
"R01MH049334","Department of Neuroscience, Zuckerman Institute, Department of Physiology & Cellular Biophysics, Columbia University, New York, NY 10027, United States of America.","2022","Qian, Ning; Lipkin, Richard M; Kaszowska, Aleksandra; Silipo, Gail; Dias, Elisa C; Butler, Pamela D; Javitt, Daniel C","Netherlands","1573-2509"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/32291128'>Schizophrenia research</a>","Schizophr Res","249","eng","47-55","8760932","32291128","2022 Nov","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8760932'>Computational modeling of excitatory/inhibitory balance impairments in schizophrenia.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32291128&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8760932/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32291128'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8760932/'>Cited By, Google</a>",0.86
"R01MH117359","Athinoula A. Martinos Center for Biomedical Imaging, Department of Radiology, Massachusetts General Hospital, Harvard Medical School, Charlestown, MA, USA.","2022","Şencan, İkbal; Esipova, Tatiana; Kılıç, Kıvılcım; Li, Baoqiang; Desjardins, Michèle; Yaseen, Mohammad A; Wang, Hui; Porter, Jason E; Kura, Sreekanth; Fu, Buyin; Secomb, Timothy W; Boas, David A; Vinogradov, Sergei A; Devor, Anna; Sakadžić, Sava","United States","1559-7016","3","<a href='https://pubmed.ncbi.nlm.nih.gov/32515672'>Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism</a>","J Cereb Blood Flow Metab","42","eng","510-525","8985437","32515672","2022 Mar","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8985437'>Optical measurement of microvascular oxygenation and blood flow responses in awake mouse cortex during functional activation.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32515672&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8985437/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32515672'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8985437/'>Cited By, Google</a>",5.5
"R00MH120053","Athinoula A. Martinos Center for Biomedical Imaging, Department of Radiology, Massachusetts General Hospital, Harvard Medical School, Charlestown, MA, USA.","2022","Şencan, İkbal; Esipova, Tatiana; Kılıç, Kıvılcım; Li, Baoqiang; Desjardins, Michèle; Yaseen, Mohammad A; Wang, Hui; Porter, Jason E; Kura, Sreekanth; Fu, Buyin; Secomb, Timothy W; Boas, David A; Vinogradov, Sergei A; Devor, Anna; Sakadžić, Sava","United States","1559-7016","3","<a href='https://pubmed.ncbi.nlm.nih.gov/32515672'>Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism</a>","J Cereb Blood Flow Metab","42","eng","510-525","8985437","32515672","2022 Mar","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8985437'>Optical measurement of microvascular oxygenation and blood flow responses in awake mouse cortex during functional activation.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32515672&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8985437/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32515672'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8985437/'>Cited By, Google</a>",5.5
"P50MH119029","Department of Psychiatry & Behavioral Sciences, Northwestern University, Chicago, Illinois, USA.","2022","Cohen, Katherine A; Graham, Andrea K; Lattie, Emily G","United States","1940-3208","3","<a href='https://pubmed.ncbi.nlm.nih.gov/32432973'>Journal of American college health : J of ACH</a>","J Am Coll Health","70","eng","724-732","7677163","32432973","2022 Apr","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/7677163'>Aligning students and counseling centers on student mental health needs and treatment resources.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32432973&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC7677163/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32432973'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC7677163/'>Cited By, Google</a>",6.2
"K23MH123910","Department of Psychiatry and Behavioral Sciences, Johns Hopkins University, Baltimore, Maryland, USA.","2022","Cooper, Marita; Reilly, Erin E; Siegel, Jaclyn A; Coniglio, Kathryn; Sadeh-Sharvit, Shiri; Pisetsky, Emily M; Anderson, Lisa M","United States","1532-530X","1","<a href='https://pubmed.ncbi.nlm.nih.gov/32644868'>Eating disorders</a>","Eat Disord","30","eng","54-76","7929530","32644868","2022","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/7929530'>Eating disorders during the COVID-19 pandemic and quarantine: an overview of risks and recommendations for treatment and early intervention.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32644868&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC7929530/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32644868'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC7929530/'>Cited By, Google</a>",33.74
"T32MH013043","Department of Psychiatry, Mount Sinai Hospital, Icahn School of Medicine at Mount Sinai, New York, NY, USA.","2022","Becker, Timothy D; Poku, Ohemaa B; Chen, Xinlin; Wong, Jeffrey; Mandavia, Amar; Huang, Minda; Chen, Yuqi; Huang, Debbie; Ngo, Hong; Yang, Lawrence H","England","1465-3419","3","<a href='https://pubmed.ncbi.nlm.nih.gov/32668975'>Ethnicity & health</a>","Ethn Health","27","eng","509-528","7854980","32668975","2022 Apr","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/7854980'>The impact of China-to-US immigration on structural and cultural determinants of HIV-related stigma: implications for HIV care of Chinese immigrants.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32668975&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC7854980/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32668975'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC7854980/'>Cited By, Google</a>",1.67
"K01MH119973","University of Texas Medical Branch, USA.","2022","Goodman, Michael L; Gitari, Stanley; Keiser, Philip; Elliott, Aleisha; Seidel, Sarah","England","1461-7277","1","<a href='https://pubmed.ncbi.nlm.nih.gov/32705891'>Journal of health psychology</a>","J Health Psychol","27","eng","81-91"," ","32705891","2022 01","Mental health and childhood memories among rural Kenyan men: Considering the role of spirituality in life-course pathways.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32705891&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?hl=en&q=Mental health and childhood memories among rural Kenyan men: Considering the role of spirituality in life-course pathways.'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32705891'>Cited By, PMID</a>"," ",0.5
"T32MH015750","Department of Psychology, University of California, Los Angeles, Los Angeles, California, USA.","2022","Julian, Melissa; Cheadle, Alyssa C D; Knudsen, Kendra S; Bilder, Robert M; Dunkel Schetter, Christine","United States","1940-3208","5","<a href='https://pubmed.ncbi.nlm.nih.gov/32941114'>Journal of American college health : J of ACH</a>","J Am Coll Health","70","eng","1434-1443","10035631","32941114","2022 Jul","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10035631'>Resilience Resources Scale: A brief resilience measure validated with undergraduate students.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32941114&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10035631/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32941114'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10035631/'>Cited By, Google</a>",1.75
"P30MH062512","SDSU/UC San Diego Joint Doctoral Program in Clinical Psychology, San Diego, CA, USA.","2022","Campbell, Laura M; Kohli, Maulika; Lee, Ellen E; Kaufmann, Christopher N; Higgins, Michael; Delgadillo, Jeremy D; Heaton, Robert K; Cherner, Mariana; Ellis, Ronald J; Moore, David J; Moore, Raeanne C","England","1744-4144","6","<a href='https://pubmed.ncbi.nlm.nih.gov/32993422'>The Clinical neuropsychologist</a>","Clin Neuropsychol","36","eng","1352-1371","8007669","32993422","2022 Aug","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8007669'>Objective and subjective sleep measures are associated with neurocognition in aging adults with and without HIV.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32993422&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8007669/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32993422'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8007669/'>Cited By, Google</a>",4.41
"R25MH077823","Brandon M. Kitay, MD, PhD, Yale University, New Haven, CT, USA.","2022","Kitay, Brandon M; Walde, Tina; Robertson, Dilice; Cohen, Tammy; Duvivier, Robbert; Martin, Andrés","United States","1532-5725","3","<a href='https://pubmed.ncbi.nlm.nih.gov/32727255'>Journal of the American Psychiatric Nurses Association</a>","J Am Psychiatr Nurses Assoc","28","eng","225-234"," ","32727255","2022 May-Jun","Addressing Electroconvulsive Therapy Knowledge Gaps and Stigmatized Views Among Nursing Students Through a Psychiatrist-APRN Didactic Partnership.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32727255&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?hl=en&q=Addressing Electroconvulsive Therapy Knowledge Gaps and Stigmatized Views Among Nursing Students Through a Psychiatrist-APRN Didactic Partnership.'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32727255'>Cited By, PMID</a>"," ",2.05
