"Core Project Number","Affiliation","Pub Year","Authors","Country","ISSN","Journal Issue","Journal (Link to PubMed abstract)","Journal Title ABBR","Journal Volume","Language","Page Number","PMC ID","PMID","PUB Date","Title (Link to full-text in PubMed Central)","Related Publications in PubMed","Related Publications in Google Scholar","Articles Citing from PubMed Central","Articles Citing from Google Scholar","Relative Citation Ratio",
"R01MH092535","Department of Radiology, Children's Hospital of Philadelphia, Philadelphia, Pennsylvania.","2023","Tierradentro-García, Luis Octavio; Saade-Lemus, Sandra; Freeman, Colbey; Kirschen, Matthew; Huang, Hao; Vossough, Arastoo; Hwang, Misun","United States","1098-8785","5","<a href='https://pubmed.ncbi.nlm.nih.gov/34225373'>American journal of perinatology</a>","Am J Perinatol","40","eng","475-488","8974293","34225373","2023 Apr","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8974293'>Cerebral Blood Flow of the Neonatal Brain after Hypoxic-Ischemic Injury.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34225373&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8974293/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34225373'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8974293/'>Cited By, Google</a>",4.49
"R15MH113045","Department of Psychological Sciences, Western Kentucky University, Bowling Green, KY, USA.","2023","Clapham, Rebekah; Laves, Eliza; Fergerson, Ava; Nichols, Paige; Brausch, Amy","United States","1940-3208","5","<a href='https://pubmed.ncbi.nlm.nih.gov/34242545'>Journal of American college health : J of ACH</a>","J Am Coll Health","71","eng","1612-1621","8742842","34242545","2023 Jul","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8742842'>Interoceptive deficits moderate the relationship between bulimia symptoms and suicide risk.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34242545&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8742842/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34242545'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8742842/'>Cited By, Google</a>"," ",
"R01MH116228","Department of Psychological and Brain Sciences, University of Delaware, Newark, DE 19716, USA.","2023","Sadeh, Naomi; Miglin, Rickie; Bounoua, Nadia; Sheehan, Ana; Spielberg, Jeffrey M","England","1469-8978","4","<a href='https://pubmed.ncbi.nlm.nih.gov/34167611'>Psychological medicine</a>","Psychol Med","53","eng","1143-1150","10625335","34167611","2023 Mar","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10625335'>Development of a cortical delay discounting assay: a potential biomarker of externalizing disorders.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34167611&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10625335/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34167611'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10625335/'>Cited By, Google</a>"," ",
"ZICMH002903","Clinical and Translational Neuroscience Branch, Intramural Research Program, National Institute of Mental Health, National Institutes of Health, Department of Health and Human Services, Bethesda, Maryland; Neuroscience Graduate Program, Brown University, Providence, Rhode Island.","2023","Hegarty, Catherine E; Ianni, Angela M; Kohn, Philip D; Kolachana, Bhaskar; Gregory, Michael; Masdeu, Joseph C; Eisenberg, Daniel P; Berman, Karen F","United States","2451-9030","1","<a href='https://pubmed.ncbi.nlm.nih.gov/33712377'>Biological psychiatry. Cognitive neuroscience and neuroimaging</a>","Biol Psychiatry Cogn Neurosci Neuroimaging","8","eng","121-128","10501410","33712377","2023 Jan","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10501410'>Polymorphism in the ZNF804A Gene and Variation in D1 and D2/D3 Dopamine Receptor Availability in the Healthy Human Brain: A Dual Positron Emission Tomography Study.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33712377&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10501410/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=33712377'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10501410/'>Cited By, Google</a>"," ",
"ZIAMH002652","Clinical and Translational Neuroscience Branch, Intramural Research Program, National Institute of Mental Health, National Institutes of Health, Department of Health and Human Services, Bethesda, Maryland; Neuroscience Graduate Program, Brown University, Providence, Rhode Island.","2023","Hegarty, Catherine E; Ianni, Angela M; Kohn, Philip D; Kolachana, Bhaskar; Gregory, Michael; Masdeu, Joseph C; Eisenberg, Daniel P; Berman, Karen F","United States","2451-9030","1","<a href='https://pubmed.ncbi.nlm.nih.gov/33712377'>Biological psychiatry. Cognitive neuroscience and neuroimaging</a>","Biol Psychiatry Cogn Neurosci Neuroimaging","8","eng","121-128","10501410","33712377","2023 Jan","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10501410'>Polymorphism in the ZNF804A Gene and Variation in D1 and D2/D3 Dopamine Receptor Availability in the Healthy Human Brain: A Dual Positron Emission Tomography Study.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33712377&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10501410/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=33712377'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10501410/'>Cited By, Google</a>"," ",
"ZIAMH002717","Clinical and Translational Neuroscience Branch, Intramural Research Program, National Institute of Mental Health, National Institutes of Health, Department of Health and Human Services, Bethesda, Maryland; Neuroscience Graduate Program, Brown University, Providence, Rhode Island.","2023","Hegarty, Catherine E; Ianni, Angela M; Kohn, Philip D; Kolachana, Bhaskar; Gregory, Michael; Masdeu, Joseph C; Eisenberg, Daniel P; Berman, Karen F","United States","2451-9030","1","<a href='https://pubmed.ncbi.nlm.nih.gov/33712377'>Biological psychiatry. Cognitive neuroscience and neuroimaging</a>","Biol Psychiatry Cogn Neurosci Neuroimaging","8","eng","121-128","10501410","33712377","2023 Jan","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10501410'>Polymorphism in the ZNF804A Gene and Variation in D1 and D2/D3 Dopamine Receptor Availability in the Healthy Human Brain: A Dual Positron Emission Tomography Study.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33712377&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10501410/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=33712377'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10501410/'>Cited By, Google</a>"," ",
"P50MH115838","Western Psychiatric Hospital, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, USA.","2023","Salk, Rachel H; Moses-Kolko, Eydie L; Chugani, Carla D; Mastruserio, Susan; Wentroble, Erin; Blackburn, Vint; Poling, Kimberly; Sakolsky, Dara; Brent, David; Goldstein, Tina R","United States","1940-3208","1","<a href='https://pubmed.ncbi.nlm.nih.gov/33759707'>Journal of American college health : J of ACH</a>","J Am Coll Health","71","eng","24-29","8826932","33759707","2023 Jan","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8826932'>An intensive outpatient program for suicidal college students.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33759707&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8826932/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=33759707'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8826932/'>Cited By, Google</a>"," ",
"T32MH018269","Western Psychiatric Hospital, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, USA.","2023","Salk, Rachel H; Moses-Kolko, Eydie L; Chugani, Carla D; Mastruserio, Susan; Wentroble, Erin; Blackburn, Vint; Poling, Kimberly; Sakolsky, Dara; Brent, David; Goldstein, Tina R","United States","1940-3208","1","<a href='https://pubmed.ncbi.nlm.nih.gov/33759707'>Journal of American college health : J of ACH</a>","J Am Coll Health","71","eng","24-29","8826932","33759707","2023 Jan","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8826932'>An intensive outpatient program for suicidal college students.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33759707&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8826932/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=33759707'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8826932/'>Cited By, Google</a>"," ",
"T32MH020061","Department of Psychological Sciences, Texas Tech University, Lubbock, TX, USA.","2023","Mitchell, Sean M; Görgülü, Tuğba; Dhingra, Katie; Crean, Hugh F; Swogger, Marc T","Canada","2151-2396","2","<a href='https://pubmed.ncbi.nlm.nih.gov/35086357'>Crisis</a>","Crisis","44","eng","146-153","9329489","35086357","2023 Mar","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9329489'>Depressive Symptoms Moderate the Association Between the Recent History of Alcohol Use Severity and Suicide Attempt History Among Adults in a Pretrial Jail Diversion Program.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35086357&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9329489/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35086357'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9329489/'>Cited By, Google</a>"," ",
"ZIAMH002969","Department of Psychology and Human Development, Vanderbilt University, Nashville, TN, USA.","2023","Ravi, Sanjana; Havewala, Mazneen; Kircanski, Katharina; Brotman, Melissa A; Schneider, Leslie; Degnan, Kathryn; Almas, Alisa; Fox, Nathan; Pine, Daniel S; Leibenluft, Ellen; Filippi, Courtney","United States","1469-2198","3","<a href='https://pubmed.ncbi.nlm.nih.gov/35039102'>Development and psychopathology</a>","Dev Psychopathol","35","eng","1444-1453","9289071","35039102","2023 Aug","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9289071'>Parenting and childhood irritability: Negative emotion socialization and parental control moderate the development of irritability.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35039102&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9289071/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35039102'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9289071/'>Cited By, Google</a>",2.73
