"Core Project Number","Affiliation","Pub Year","Authors","Country","ISSN","Journal Issue","Journal (Link to PubMed abstract)","Journal Title ABBR","Journal Volume","Language","Page Number","PMC ID","PMID","PUB Date","Title (Link to full-text in PubMed Central)","Related Publications in PubMed","Related Publications in Google Scholar","Articles Citing from PubMed Central","Articles Citing from Google Scholar","Relative Citation Ratio",
"K01MH125142"," ","2024","Hagaman, Ashley K; Bates, Lisa M; Atif, Najia; Chung, Esther; LeMasters, Katherine; Rahman, Atif; Saqib, Kiran; Sikander, Siham; Maselko, Joanna","England","1543-6136","1","<a href='https://pubmed.ncbi.nlm.nih.gov/36533657'>Archives of suicide research : official journal of the International Academy for Suicide Research</a>","Arch Suicide Res","28","eng","231-249","10277318","36533657","2024","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10277318'>Suicide Ideation within and outside the Perinatal Period: An Exploration of Interpersonal Factors from a Maternal Cohort in Rural Pakistan to Improve Intervention Targeting.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36533657&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10277318/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36533657'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10277318/'>Cited By, Google</a>"," ",
"R01MH126181","Department of Psychiatry, Columbia University, New York, NY, USA.","2024","Millon, Emma M; Alqueza, Kira L; Kamath, Rahil A; Marsh, Rachel; Pagliaccio, David; Blumberg, Hilary P; Stewart, Jeremy G; Auerbach, Randy P","United States","1573-3327","1","<a href='https://pubmed.ncbi.nlm.nih.gov/35727385'>Child psychiatry and human development</a>","Child Psychiatry Hum Dev","55","eng","48-59","9782727","35727385","2024 Feb","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9782727'>Non-suicidal Self-injurious Thoughts and Behaviors Among Adolescent Inpatients.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35727385&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9782727/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35727385'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9782727/'>Cited By, Google</a>"," ",
"T32MH019836","Behavioral Science Division, National Center for PTSD, VA Boston Healthcare System.","2024","Cole, Travis A; Reuman, Lillian; Lee, Daniel J; Shotwell Tabke, Chelsea; Marx, Brian P; Sloan, Denise M","United States","1942-969X","2","<a href='https://pubmed.ncbi.nlm.nih.gov/35666937'>Psychological trauma : theory, research, practice and policy</a>","Psychol Trauma","16","eng","331-339","9896149","35666937","2024 Feb","The effect of time since index trauma on trauma-related beliefs.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35666937&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9896149/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35666937'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9896149/'>Cited By, Google</a>"," ",
"R01MH113669","Yale Child Study Center, Yale University School of Medicine, New Haven, CT, USA.","2024","Penner, Francesca; Bunderson, Madison; Bartz, Cody; Brooker, Rebecca J; Rutherford, Helena Jv","England","1469-672X","3","<a href='https://pubmed.ncbi.nlm.nih.gov/35949103'>Journal of reproductive and infant psychology</a>","J Reprod Infant Psychol","42","eng","410-423","9911557","35949103","2024 Jun","Emotion regulation strategies and perceived stress during pregnancy in expectant mothers and fathers.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35949103&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9911557/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35949103'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9911557/'>Cited By, Google</a>"," ",
"R01MH126762","School of Public Health, San Diego State University.","2024","Storholm, Erik D; Ogunbajo, Adedotun; Nacht, Carrie L; Opalo, Chloe; Horvath, Keith J; Lyman, Phoebe; Flynn, Risa; Reback, Cathy J; Blumenthal, Jill; Moore, David J; Bolan, Robert; Morris, Sheldon","United States","0896-4289","1","<a href='https://pubmed.ncbi.nlm.nih.gov/35993278'>Behavioral medicine (Washington, D.C.)</a>","Behav Med","50","eng","63-74","9943802","35993278","2024","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9943802'>Facilitators of PrEP Persistence among Black and Latinx Transgender Women in a PrEP Demonstration Project in Southern California.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35993278&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9943802/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35993278'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9943802/'>Cited By, Google</a>"," ",
"R01MH122519","Department of Biochemistry and Molecular Biology, University of Massachusetts, Amherst, MA 01003, USA; Neuroscience and Behavior Graduate Program, University of Massachusetts, Amherst, MA 01003, USA.","2024","Sebastian, Rebecca; Song, Yoonjae; Pak, ChangHui","Netherlands","1573-2509"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/35835709'>Schizophrenia research</a>","Schizophr Res","273","eng","4-23","9832179","35835709","2024 Nov","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9832179'>Probing the molecular and cellular pathological mechanisms of schizophrenia using human induced pluripotent stem cell models.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=35835709&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9832179/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=35835709'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9832179/'>Cited By, Google</a>",0.48
"R01MH121877","Department of Medical Social Sciences, Northwestern University Feinberg School of Medicine.","2024","Wakschlag, Lauren S; MacNeill, Leigha A; Pool, Lindsay R; Smith, Justin D; Adam, Hubert; Barch, Deanna M; Norton, Elizabeth S; Rogers, Cynthia E; Ahuvia, Isaac; Smyser, Christopher D; Luby, Joan L; Allen, Norrina B","England","1537-4424","2","<a href='https://pubmed.ncbi.nlm.nih.gov/36975800'>Journal of clinical child and adolescent psychology : the official journal for the Society of Clinical Child and Adolescent Psychology, American Psychological Association, Division 53</a>","J Clin Child Adolesc Psychol","53","eng","231-245","10533737","36975800","2024","Predictive Utility of Irritability 'In Context': Proof-of-Principle for an Early Childhood Mental Health Risk Calculator.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36975800&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10533737/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36975800'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10533737/'>Cited By, Google</a>"," ",
"T32MH018399","Department of Psychiatry, University of California, San Diego, La Jolla, CA, USA.","2024","Niemsiri, Vipavee; Rosenthal, Sara Brin; Nievergelt, Caroline M; Maihofer, Adam X; Marchetto, Maria C; Santos, Renata; Shekhtman, Tatyana; Alliey-Rodriguez, Ney; Anand, Amit; Balaraman, Yokesh; Berrettini, Wade H; Bertram, Holli; Burdick, Katherine E; Calabrese, Joseph R; Calkin, Cynthia V; Conroy, Carla; Coryell, William H; DeModena, Anna; Eyler, Lisa T; Feeder, Scott; Fisher, Carrie; Frazier, Nicole; Frye, Mark A; Gao, Keming; Garnham, Julie; Gershon, Elliot S; Goes, Fernando S; Goto, Toyomi; Harrington, Gloria J; Jakobsen, Petter; Kamali, Masoud; Kelly, Marisa; Leckband, Susan G; Lohoff, Falk W; McCarthy, Michael J; McInnis, Melvin G; Craig, David; Millett, Caitlin E; Mondimore, Francis; Morken, Gunnar; Nurnberger, John I; Donovan, Claire O'; Øedegaard, Ketil J; Ryan, Kelly; Schinagle, Martha; Shilling, Paul D; Slaney, Claire; Stapp, Emma K; Stautland, Andrea; Tarwater, Bruce; Zandi, Peter P; Alda, Martin; Fisch, Kathleen M; Gage, Fred H; Kelsoe, John R","England","1476-5578","1","<a href='https://pubmed.ncbi.nlm.nih.gov/36991131'>Molecular psychiatry</a>","Mol Psychiatry","29","eng","6-19","11078741","36991131","2024 Jan","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11078741'>Focal adhesion is associated with lithium response in bipolar disorder: evidence from a network-based multi-omics analysis.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36991131&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11078741/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36991131'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11078741/'>Cited By, Google</a>"," ",
"R01MH125246","Center for Disease Neurogenomics.","2024","Hoffman, Gabriel E; Lee, Donghoon; Bendl, Jaroslav; Prashant, N M; Hong, Aram; Casey, Clara; Alvia, Marcela; Shao, Zhiping; Argyriou, Stathis; Therrien, Karen; Venkatesh, Sanan; Voloudakis, Georgios; Haroutunian, Vahram; Fullard, John F; Roussos, Panos","United States","2692-8205"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/36993704'>bioRxiv : the preprint server for biology</a>","bioRxiv"," ","eng"," ","10055252","36993704","2024 Nov 20","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10055252'>Efficient differential expression analysis of large-scale single cell transcriptomics data using dreamlet.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36993704&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10055252/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36993704'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10055252/'>Cited By, Google</a>"," ",
"RF1MH128970","Center for Disease Neurogenomics.","2024","Hoffman, Gabriel E; Lee, Donghoon; Bendl, Jaroslav; Prashant, N M; Hong, Aram; Casey, Clara; Alvia, Marcela; Shao, Zhiping; Argyriou, Stathis; Therrien, Karen; Venkatesh, Sanan; Voloudakis, Georgios; Haroutunian, Vahram; Fullard, John F; Roussos, Panos","United States","2692-8205"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/36993704'>bioRxiv : the preprint server for biology</a>","bioRxiv"," ","eng"," ","10055252","36993704","2024 Nov 20","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10055252'>Efficient differential expression analysis of large-scale single cell transcriptomics data using dreamlet.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36993704&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10055252/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36993704'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10055252/'>Cited By, Google</a>"," ",
